ν,LD-Alanina No Magnetizada Irradiada Petri,LD-Alanina No Magnetizada  Eppendorf,LD-Alanina Magnetizada Irradiada Petri,LD-Alanina Magnetizada  Eppendorf,LD-Alanina Irradiada No Magnetizada Eppendorf,LD-Alanina Irradiada Magnetizada Eppendorf,LD-Alanina  No Magnetizada Petri,LD-Alanina  Magnetizada Petri,L-Alanina No Magnetizada Irradiada Petri,L-Alanina No Magnetizada  Eppendorf,L-Alanina Magnetizada Petri,L-Alanina Magnetizada Irradiada Petri,L-Alanina Magnetizada Eppendorf,L-Alanina Irradiada No Magnetizada Eppendorf,L-Alanina Irradiada  Magnetizada Eppendorf,L-Alanina  No Magnetizada Petri,D-Alanina No Magnetizada Irradiada Petri,D-Alanina No Magnetizada Eppendorf,D-Alanina Magnetizada Irradiada Petri,D-Alanina Magnetizada Eppendorf,D-Alanina Irradiada No Magnetizada Eppendorf,D-Alanina Irradiada Magnetizada Eppendorf,D-Alanina  No Magnetizada Petri,D-Alanina  Magnetizada Petri
3954.0,99.670981,98.138854,97.315607,97.932876,98.003874,97.938656,97.027711,97.609224,98.040854,97.943933,98.096214,98.079057,98.364773,97.877769,98.418934,99.240123,98.442134,98.42185,98.562226,98.188256,97.590468,98.599717,98.022171,97.674571
3953.0,99.684875,98.145048,97.333896,97.944746,98.008956,97.941696,97.039965,97.617453,98.046723,97.953652,98.108752,98.085031,98.36979,97.875138,98.418088,99.239312,98.44417,98.424775,98.571026,98.195604,97.595466,98.604571,98.030372,97.685095
3952.0,99.701586,98.150884,97.347659,97.948712,98.014285,97.941518,97.050991,97.627687,98.050118,97.961889,98.127127,98.097358,98.376893,97.871439,98.416933,99.242123,98.447347,98.427468,98.583539,98.200717,97.59776,98.605796,98.039403,97.692995
3951.0,99.714515,98.156131,97.355664,97.94724,98.018262,97.937259,97.057717,97.638382,98.05159,97.968013,98.14717,98.114385,98.383025,97.867188,98.415878,99.250312,98.450392,98.431111,98.59481,98.20258,97.595313,98.601995,98.045298,97.694722
3950.0,99.717188,98.159071,97.359304,97.945352,98.019224,97.929591,97.060391,97.649135,98.052402,97.971299,98.16421,98.132191,98.386416,97.8635,98.415235,99.261711,98.454017,98.433318,98.600624,98.20035,97.588669,98.59417,98.044734,97.690745
3949.0,99.709681,98.158914,97.36193,97.94695,98.016815,97.92163,97.061168,97.660145,98.053876,97.971389,98.1747,98.147091,98.389019,97.861599,98.41494,99.272214,98.460688,98.431512,98.600572,98.195528,97.580866,98.585508,98.038533,97.685948
3948.0,99.698957,98.157032,97.36608,97.952288,98.012981,97.917867,97.061207,97.670079,98.056591,97.968885,98.176798,98.157355,98.39354,97.862305,98.414579,99.278964,98.471227,98.426859,98.597697,98.191193,97.575808,98.579661,98.03082,97.685025
3947.0,99.692295,98.155567,97.371189,97.958659,98.011305,97.921453,97.060162,97.675589,98.060494,97.965583,98.170178,98.163539,98.399296,97.86613,98.414156,99.281925,98.482503,98.423775,98.595819,98.18918,97.576254,98.578992,98.025521,97.688264
3946.0,99.691012,98.155407,97.37417,97.963226,98.014362,97.931944,97.057854,97.673626,98.065672,97.96373,98.155875,98.167214,98.402365,97.873338,98.414458,99.282696,98.489275,98.425407,98.597068,98.189152,97.582496,98.583676,98.024257,97.6921
3945.0,99.690895,98.155999,97.372436,97.965187,98.020958,97.945172,97.055372,97.664628,98.072724,97.964789,98.136821,98.169018,98.39948,97.883159,98.416386,99.282344,98.488452,98.430253,98.600869,98.190142,97.59201,98.591494,98.026659,97.692933
3944.0,99.688521,98.157026,97.366772,97.965812,98.026351,97.955472,97.054744,97.653554,98.082012,97.968547,98.118506,98.168274,98.391334,97.893195,98.420022,99.280764,98.482046,98.433641,98.604872,98.191949,97.600526,98.598799,98.031782,97.690281
3943.0,99.686026,98.160073,97.360987,97.967021,98.026252,97.958911,97.057708,97.64731,98.092004,97.972943,98.107621,98.164877,98.382164,97.900077,98.424344,99.278306,98.47593,98.43229,98.607432,98.194895,97.604556,98.602891,98.039651,97.68685
3942.0,99.688206,98.167813,97.358051,97.96899,98.021563,97.95566,97.063407,97.649146,98.098504,97.975113,98.106955,98.1604,98.376407,97.901744,98.427995,99.276123,98.475053,98.427028,98.6092,98.198613,97.604109,98.604155,98.050399,97.68481
3941.0,99.695109,98.180518,97.356911,97.969308,98.017553,97.949072,97.068178,97.655594,98.096814,97.973582,98.111832,98.155952,98.375843,97.89918,98.430333,99.273908,98.479325,98.421011,98.611376,98.201297,97.601979,98.604909,98.0619,97.682933
3940.0,99.700075,98.194131,97.354257,97.965923,98.017743,97.942566,97.068746,97.660464,98.085685,97.969372,98.113912,98.150195,98.379613,97.895089,98.431625,99.269236,98.484206,98.416153,98.612861,98.200651,97.600433,98.605874,98.070174,97.678874
