ν	LD-Alanina No Magnetizada Irradiada Petri	LD-Alanina Magnetizada Irradiada Petri	LD-Alanina  No Magnetizada Petri	LD-Alanina  Magnetizada Petri	L-Alanina No Magnetizada Irradiada Petri	L-Alanina Magnetizada Petri	L-Alanina Magnetizada Irradiada Petri	L-Alanina  No Magnetizada Petri	D-Alanina No Magnetizada Irradiada Petri	D-Alanina Magnetizada Irradiada Petri	D-Alanina  No Magnetizada Petri	D-Alanina  Magnetizada Petri
3824.0	99.52188	97.378355	97.150877	97.7775	98.100933	98.17952	98.139576	99.27492	98.484106	98.574406	98.12037	97.770058
3823.0	99.496006	97.364454	97.135351	97.766886	98.079647	98.146639	98.127883	99.268771	98.477774	98.575652	98.107436	97.762949
3822.0	99.488364	97.357462	97.115462	97.749383	98.062807	98.121524	98.115553	99.257244	98.472966	98.577305	98.094246	97.758643
3821.0	99.50444	97.363301	97.10464	97.738765	98.061525	98.129643	98.103788	99.24974	98.474732	98.576331	98.091215	97.760973
3820.0	99.535646	97.376702	97.106889	97.74115	98.074767	98.163056	98.099533	99.25334	98.478916	98.57585	98.098865	97.765009
3819.0	99.567281	97.38773	97.117614	97.748788	98.093829	98.192988	98.104779	99.261942	98.479971	98.578409	98.104868	97.764624
3818.0	99.588425	97.392751	97.132902	97.75371	98.111964	98.206343	98.113847	99.267075	98.478533	98.583106	98.104306	97.761246
3817.0	99.59775	97.396248	97.149915	97.755804	98.126245	98.21166	98.119562	99.267088	98.480071	98.587709	98.104134	97.760428
3816.0	99.606238	97.404939	97.164004	97.759034	98.136683	98.221885	98.123067	99.265296	98.488799	98.593126	98.111006	97.763921
3815.0	99.623803	97.418834	97.169181	97.763252	98.144131	98.233995	98.132667	99.264615	98.501808	98.602228	98.122228	97.767182
3814.0	99.645614	97.430442	97.164717	97.76397	98.148096	98.235494	98.149521	99.26429	98.511561	98.61293	98.1296	97.766785
3813.0	99.658347	97.433082	97.156816	97.76085	98.147087	98.225543	98.164209	99.263017	98.513416	98.61852	98.130672	97.765368
3812.0	99.654304	97.42585	97.152727	97.758573	98.140447	98.213514	98.168179	99.262462	98.507676	98.614548	98.13026	97.767172
3811.0	99.637395	97.412059	97.155449	97.758671	98.129922	98.203696	98.162271	99.264596	98.497708	98.602571	98.131915	97.772253
3810.0	99.618066	97.395791	97.162508	97.757635	98.120083	98.191704	98.153873	99.268296	98.488242	98.588339	98.134196	97.777028
3809.0	99.603835	97.38042	97.167601	97.752542	98.116409	98.174225	98.14716	99.269638	98.484007	98.576994	98.133717	97.778791
3808.0	99.595893	97.369812	97.166119	97.747792	98.121093	98.161087	98.139073	99.26663	98.487535	98.57046	98.130283	97.779909
3807.0	99.59304	97.367629	97.158621	97.752409	98.130107	98.167831	98.129313	99.263079	98.497029	98.570514	98.128167	97.785354
3806.0	99.594773	97.372851	97.149486	97.768522	98.13626	98.193471	98.127533	99.264808	98.507133	98.58011	98.130496	97.796721
3805.0	99.599828	97.379792	97.143006	97.788166	98.136142	98.219822	98.143267	99.27124	98.513914	98.599833	98.134693	97.810868
3804.0	99.603655	97.383806	97.140208	97.803948	98.132397	98.232391	98.173042	99.276038	98.517559	98.624913	98.137844	97.823208
3803.0	99.600836	97.385157	97.138427	97.813408	98.128964	98.230588	98.198747	99.272007	98.5199	98.64472	98.137836	97.828336
3802.0	99.593067	97.388626	97.136634	97.819114	98.126781	98.227683	98.201259	99.258377	98.521861	98.648486	98.133946	97.823396
3801.0	99.589527	97.397351	97.135927	97.82573	98.123955	98.232925	98.183992	99.247169	98.521914	98.638532	98.130746	97.811745
