ν	LD-Alanina No Magnetizada  Eppendorf	LD-Alanina Magnetizada  Eppendorf	LD-Alanina  No Magnetizada Petri	LD-Alanina  Magnetizada Petri	L-Alanina No Magnetizada  Eppendorf	L-Alanina Magnetizada Petri	L-Alanina Magnetizada Eppendorf	L-Alanina  No Magnetizada Petri	D-Alanina No Magnetizada Eppendorf	D-Alanina Magnetizada Eppendorf	D-Alanina  No Magnetizada Petri	D-Alanina  Magnetizada Petri
3909.0	98.168566	97.947951	97.055393	97.647504	97.955883	98.090464	98.384064	99.256608	98.428898	98.19758	98.022393	97.68779
3908.0	98.177585	97.952211	97.052165	97.646613	97.96138	98.104679	98.383219	99.258467	98.434926	98.20124	98.01725	97.683499
3907.0	98.187477	97.957564	97.046109	97.638441	97.965543	98.112174	98.381333	99.260992	98.440423	98.205836	98.011148	97.673163
3906.0	98.194425	97.959379	97.041035	97.627938	97.965231	98.113731	98.378411	99.261883	98.443449	98.209695	98.00574	97.658773
3905.0	98.197979	97.957559	97.043485	97.624822	97.959097	98.118542	98.375683	99.261934	98.443022	98.213028	98.006253	97.646019
3904.0	98.201135	97.958098	97.057264	97.636371	97.949427	98.1358	98.375843	99.266555	98.440907	98.218424	98.018422	97.641598
3903.0	98.206391	97.965859	97.078001	97.658406	97.94038	98.16167	98.38057	99.279876	98.442048	98.228031	98.040375	97.646512
3902.0	98.211354	97.978339	97.096579	97.67798	97.934067	98.181433	98.388249	99.297797	98.449593	98.238452	98.061131	97.655352
3901.0	98.210148	97.989154	97.106674	97.686545	97.929272	98.185298	98.394626	99.310227	98.459139	98.240982	98.070503	97.662511
3900.0	98.199315	97.994038	97.107296	97.686887	97.924047	98.176528	98.396156	99.309167	98.461997	98.229073	98.067422	97.666403
3899.0	98.183068	97.993047	97.101506	97.688015	97.918885	98.164792	98.393212	99.295765	98.455086	98.206033	98.059348	97.669307
3898.0	98.17107	97.987905	97.093077	97.694526	97.916348	98.155105	98.389548	99.278899	98.444316	98.184109	98.054051	97.673266
