ν	D-Alanina No Magnetizada Irradiada Petri	D-Alanina No Magnetizada Eppendorf	D-Alanina Magnetizada Irradiada Petri	D-Alanina Magnetizada Eppendorf	D-Alanina Irradiada No Magnetizada Eppendorf	D-Alanina Irradiada Magnetizada Eppendorf	D-Alanina  No Magnetizada Petri	D-Alanina  Magnetizada Petri
3804.0	98.517559	98.46648	98.624913	98.194832	97.640857	98.565707	98.137844	97.823208
3803.0	98.5199	98.475829	98.64472	98.196026	97.640678	98.569765	98.137836	97.828336
3802.0	98.521861	98.475587	98.648486	98.197089	97.640963	98.575612	98.133946	97.823396
3801.0	98.521914	98.466615	98.638532	98.197012	97.644149	98.581746	98.130746	97.811745
3800.0	98.517424	98.462731	98.627745	98.199434	97.652	98.590486	98.130112	97.800064
3799.0	98.508118	98.472245	98.624483	98.206426	97.660319	98.601083	98.129604	97.795185
3798.0	98.496543	98.484479	98.628008	98.215716	97.664126	98.608542	98.130006	97.800079
3797.0	98.485917	98.486745	98.632481	98.223224	97.6644	98.609855	98.131651	97.809209
3796.0	98.47827	98.478612	98.633128	98.226284	97.666364	98.607699	98.131361	97.812245
3795.0	98.474516	98.468784	98.629281	98.226967	97.672726	98.607373	98.127088	97.804668
3794.0	98.475135	98.465266	98.623565	98.230133	97.680756	98.610895	98.122142	97.792603
3793.0	98.480541	98.468374	98.619445	98.237851	97.686623	98.616039	98.122236	97.785228
3792.0	98.490432	98.473345	98.619532	98.247022	97.6898	98.62023	98.129219	97.785166
3791.0	98.50247	98.475899	98.623932	98.25252	97.691901	98.622861	98.138423	97.787039
3790.0	98.512218	98.474534	98.630532	98.252218	97.692829	98.623723	98.143751	97.784509
3789.0	98.515792	98.471474	98.637654	98.248938	97.69064	98.621691	98.144337	97.777218
3788.0	98.513137	98.471651	98.645641	98.247313	97.685361	98.616358	98.144274	97.770299
3787.0	98.508594	98.47747	98.654309	98.249434	97.680853	98.609963	98.14748	97.769264
3786.0	98.507168	98.484058	98.6598	98.253528	97.681838	98.606143	98.153712	97.775908
3785.0	98.509616	98.482501	98.657024	98.256339	97.689097	98.60645	98.159254	97.787724
3784.0	98.512205	98.470235	98.646183	98.256593	97.698093	98.608923	98.160678	97.800222
3783.0	98.511649	98.45547	98.634476	98.25594	97.702147	98.610245	98.157596	97.809933
3782.0	98.509137	98.44903	98.629917	98.256707	97.696939	98.608192	98.152423	97.815949
3781.0	98.508977	98.453727	98.634294	98.258947	97.683363	98.602502	98.148517	97.819354
3780.0	98.51351	98.462603	98.64158	98.260358	97.667521	98.594788	98.148339	97.821271
3779.0	98.519354	98.466515	98.644182	98.259458	97.658087	98.588652	98.151367	97.820158
3778.0	98.52003	98.463625	98.639126	98.257673	97.659705	98.587806	98.152959	97.813069
3777.0	98.512003	98.458328	98.627553	98.256793	97.669446	98.593142	98.147619	97.799798
3776.0	98.497049	98.453092	98.610778	98.255951	97.68065	98.601885	98.134348	97.784066
3775.0	98.48009	98.44713	98.589872	98.251294	97.688693	98.609946	98.117036	97.770414
3774.0	98.465778	98.440782	98.567645	98.239247	97.692392	98.614966	98.101074	97.761526
3773.0	98.455999	98.436081	98.548572	98.221275	97.692356	98.617187	98.090377	97.758247
3772.0	98.449718	98.433388	98.536024	98.205155	97.689844	98.617634	98.085896	97.76054
3771.0	98.445016	98.430775	98.531346	98.199514	97.686787	98.616696	98.086494	97.76767
3770.0	98.442097	98.428456	98.53577	98.206711	97.685462	98.61529	98.091972	97.777716
3769.0	98.444296	98.431522	98.550786	98.221584	97.687162	98.615958	98.10264	97.78754
3768.0	98.454968	98.443802	98.575142	98.236092	97.690784	98.620418	98.11554	97.794927
3767.0	98.472466	98.459244	98.6027	98.244943	97.69366	98.626331	98.126403	97.801006
3766.0	98.488642	98.465497	98.623968	98.247584	97.695057	98.628982	98.131919	97.806818
3765.0	98.494163	98.457722	98.631318	98.245607	97.696394	98.626163	98.130198	97.809973
3764.0	98.487054	98.445051	98.623697	98.240171	97.69786	98.62036	98.12219	97.80763
3763.0	98.474819	98.441544	98.60662	98.232402	97.697147	98.615612	98.112705	97.801754
3762.0	98.467768	98.453095	98.58956	98.224703	97.692157	98.613032	98.108482	97.799195
3761.0	98.470939	98.475037	98.58391	98.220489	97.684068	98.610667	98.113338	97.805682
3760.0	98.480784	98.497749	98.596427	98.222563	97.676083	98.606206	98.125708	97.820143
3759.0	98.488623	98.511442	98.620585	98.230511	97.670159	98.598813	98.13926	97.834213
3758.0	98.488953	98.510869	98.638817	98.238905	97.66434	98.588308	98.14642	97.840518
3757.0	98.484079	98.498256	98.638982	98.24054	97.65529	98.575301	98.144149	97.840298
3756.0	98.481043	98.481971	98.624311	98.234576	97.642867	98.562385	98.137293	97.840704
3755.0	98.485066	98.471408	98.606324	98.228872	97.630185	98.552751	98.135255	97.846905
3754.0	98.494766	98.471299	98.592866	98.231468	97.620068	98.547269	98.143012	97.857519
3753.0	98.503184	98.479468	98.584045	98.239997	97.6125	98.543921	98.15407	97.866408
3752.0	98.504469	98.488043	98.577148	98.242269	97.605324	98.540867	98.155625	97.87013
3751.0	98.499522	98.488486	98.572273	98.232512	97.597824	98.538755	98.146209	97.873606
3750.0	98.493237	98.479487	98.571727	98.22084	97.592962	98.538898	98.138281	97.882834
3749.0	98.48825	98.469091	98.576362	98.216861	97.590837	98.540459	98.140248	97.896888
3748.0	98.484651	98.465235	98.586293	98.21796	97.58661	98.54254	98.153012	97.910532
3747.0	98.482724	98.467112	98.6007	98.218688	97.575804	98.546125	98.176659	97.919282
3746.0	98.482148	98.467844	98.613953	98.21662	97.558411	98.551128	98.204567	97.920103
3745.0	98.481766	98.46223	98.61791	98.211335	97.539357	98.551918	98.222926	97.914791
3744.0	98.480286	98.451445	98.614209	98.206762	97.531546	98.548291	98.224741	97.905114
3743.0	98.475226	98.44787	98.609585	98.20762	97.540933	98.55047	98.212385	97.889758
3742.0	98.464847	98.45806	98.603416	98.212245	97.555028	98.561618	98.192785	97.872098
3741.0	98.450766	98.465274	98.592943	98.21597	97.558865	98.573551	98.178032	97.859659
3740.0	98.436305	98.456199	98.580789	98.216736	97.549519	98.579171	98.176505	97.855842
3739.0	98.42429	98.437318	98.573363	98.215655	97.534977	98.578292	98.186009	97.857209
3738.0	98.41774	98.41894	98.572018	98.214832	97.52554	98.574219	98.193741	97.856155
3737.0	98.420146	98.405175	98.570524	98.213884	97.524542	98.56849	98.186523	97.849647
3736.0	98.433261	98.399247	98.56619	98.211501	97.528529	98.562892	98.164325	97.844109
3735.0	98.455283	98.408746	98.567233	98.211177	97.532814	98.561809	98.143511	97.850011
3734.0	98.480771	98.435382	98.580804	98.219695	97.532428	98.565895	98.140751	97.871864
3733.0	98.501219	98.463954	98.60065	98.236823	97.522971	98.568023	98.155815	97.902643
3732.0	98.506687	98.47361	98.61429	98.252229	97.50659	98.56124	98.173806	97.927533
3731.0	98.492608	98.460132	98.615539	98.255429	97.491489	98.54687	98.179929	97.934529
3730.0	98.465642	98.437799	98.607345	98.245952	97.48359	98.532417	98.172669	97.923686
3729.0	98.440024	98.422924	98.596405	98.233799	97.482286	98.524438	98.164294	97.906618
3728.0	98.42739	98.422641	98.588299	98.23057	97.484526	98.524998	98.165942	97.896361
3727.0	98.429478	98.434126	98.58583	98.239494	97.48853	98.531696	98.175093	97.898624
3726.0	98.43871	98.44798	98.588109	98.253182	97.49362	98.539942	98.178719	97.909789
3725.0	98.446245	98.454981	98.590115	98.261776	97.498775	98.545807	98.167125	97.921403
3724.0	98.44926	98.451572	98.58761	98.261398	97.503741	98.547808	98.143482	97.926144
3723.0	98.451387	98.441359	98.583177	98.254548	97.511004	98.54752	98.120915	97.92083
3722.0	98.458796	98.43342	98.583792	98.246835	97.523972	98.548323	98.1128	97.907549
3721.0	98.475693	98.434879	98.592478	98.24321	97.544222	98.553548	98.121871	97.891374
3720.0	98.500806	98.444438	98.604724	98.245158	97.569872	98.564215	98.140218	97.878283
3719.0	98.526374	98.454632	98.613878	98.251491	97.597542	98.578462	98.157398	97.872427
3718.0	98.542497	98.460053	98.617643	98.260586	97.623941	98.592443	98.16604	97.873421
3717.0	98.544382	98.461851	98.619339	98.270866	97.644352	98.601707	98.165762	97.878619
3716.0	98.535367	98.464537	98.623165	98.281444	97.653276	98.603165	98.162237	97.886164
3715.0	98.522682	98.468995	98.629212	98.290218	97.646047	98.595412	98.16285	97.895604
3714.0	98.509913	98.470623	98.633569	98.292497	97.622145	98.579582	98.169422	97.906485
3713.0	98.496167	98.465077	98.632683	98.283694	97.588332	98.561138	98.175765	97.916243
3712.0	98.480582	98.453682	98.627351	98.266825	97.556304	98.548223	98.176919	97.922608
3711.0	98.465898	98.442447	98.622181	98.25399	97.537633	98.546234	98.176179	97.923139
3710.0	98.456916	98.437177	98.620216	98.253856	97.536067	98.552876	98.17871	97.915932
3709.0	98.45736	98.439818	98.620585	98.263269	97.546707	98.561535	98.184969	97.902375
3708.0	98.468195	98.449199	98.621594	98.272498	97.562411	98.56808	98.193007	97.886335
3707.0	98.486023	98.46411	98.623389	98.275381	97.577248	98.571962	98.201991	97.873504
3706.0	98.504457	98.483155	98.626956	98.272529	97.5879	98.573982	98.212481	97.86791
3705.0	98.515944	98.501783	98.631147	98.269168	97.593753	98.574405	98.222686	97.869663
