ν,LD-Alanina No Magnetizada  Eppendorf,LD-Alanina Magnetizada  Eppendorf,LD-Alanina Irradiada No Magnetizada Eppendorf,LD-Alanina Irradiada Magnetizada Eppendorf,L-Alanina No Magnetizada  Eppendorf,L-Alanina Magnetizada Eppendorf,L-Alanina Irradiada No Magnetizada Eppendorf,L-Alanina Irradiada  Magnetizada Eppendorf,D-Alanina No Magnetizada Eppendorf,D-Alanina Magnetizada Eppendorf,D-Alanina Irradiada No Magnetizada Eppendorf,D-Alanina Irradiada Magnetizada Eppendorf
3897.0,98.169449,97.980136,98.047252,97.968618,97.918332,98.388472,97.918438,98.452552,98.437549,98.174608,97.619166,98.593432
3896.0,98.176391,97.971986,98.050097,97.978676,97.924738,98.390338,97.922844,98.458933,98.437671,98.180188,97.634549,98.596797
3895.0,98.185142,97.965474,98.051968,97.986963,97.933834,98.393757,97.926025,98.461834,98.443194,98.195201,97.646964,98.60154
3894.0,98.189564,97.96019,98.054288,97.992901,97.943249,98.398448,97.92913,98.460901,98.451316,98.210245,97.654007,98.608458
3893.0,98.187686,97.954865,98.057252,97.995607,97.951153,98.405811,97.932686,98.456363,98.457019,98.217332,97.654362,98.615296
3892.0,98.182505,97.951549,98.056982,97.993591,97.957215,98.41504,97.934135,98.449504,98.45391,98.214915,97.647261,98.615959
3891.0,98.179325,97.954989,98.048831,97.986537,97.961982,98.420642,97.928383,98.442961,98.441044,98.208919,97.634368,98.606458
3890.0,98.180531,97.964401,98.035093,97.977222,97.965247,98.417635,97.91577,98.439464,98.427785,98.206304,97.620533,98.591188
3889.0,98.183645,97.973096,98.023555,97.969398,97.965031,98.407779,97.903009,98.439363,98.424474,98.208742,97.609951,98.578819
3888.0,98.184925,97.97513,98.020927,97.966034,97.959606,98.398464,97.895953,98.440871,98.43038,98.213065,97.604606,98.574664
3887.0,98.182619,97.970097,98.027439,97.968938,97.951563,98.395653,97.895768,98.442929,98.437213,98.214182,97.604255,98.577332
3886.0,98.178201,97.965089,98.036754,97.977376,97.947281,98.397902,97.899726,98.445765,98.439261,98.209112,97.607273,98.581735
3885.0,98.176589,97.96919,98.042334,97.986888,97.950086,98.398135,97.903394,98.448613,98.439305,98.201151,97.6121,98.585616
3884.0,98.182593,97.982384,98.04295,97.992036,97.956864,98.393979,97.90545,98.449439,98.446761,98.196953,97.616918,98.590472
