ν	LD-Alanina Magnetizada Irradiada Petri	LD-Alanina Magnetizada  Eppendorf	LD-Alanina Irradiada Magnetizada Eppendorf	LD-Alanina  Magnetizada Petri	L-Alanina Magnetizada Petri	L-Alanina Magnetizada Irradiada Petri	L-Alanina Magnetizada Eppendorf	L-Alanina Irradiada  Magnetizada Eppendorf	D-Alanina Magnetizada Irradiada Petri	D-Alanina Magnetizada Eppendorf	D-Alanina Irradiada Magnetizada Eppendorf	D-Alanina  Magnetizada Petri
3857.0	97.341716	98.002244	98.001031	97.767552	98.199593	98.138446	98.397506	98.478364	98.605185	98.24121	98.569824	97.748389
3856.0	97.33165	98.010026	98.008275	97.774711	98.209711	98.131998	98.378162	98.490175	98.595929	98.243049	98.563599	97.751551
3855.0	97.330127	98.019584	98.013243	97.768213	98.199369	98.13313	98.368153	98.496505	98.588058	98.240501	98.565937	97.751652
3854.0	97.34243	98.025215	98.013238	97.756036	98.186402	98.133678	98.369959	98.496263	98.582317	98.223161	98.568094	97.752115
3853.0	97.362288	98.033178	98.005866	97.754407	98.195136	98.129411	98.36962	98.48868	98.576877	98.193312	98.563278	97.756618
3852.0	97.376684	98.038699	97.995617	97.756507	98.208461	98.126958	98.358888	98.476275	98.571501	98.169216	98.559778	97.7584
3851.0	97.381129	98.030213	97.987839	97.74691	98.204297	98.130251	98.34685	98.46438	98.566124	98.160437	98.564317	97.754452
3850.0	97.381656	98.012786	97.983004	97.73107	98.191024	98.137581	98.346915	98.455355	98.562617	98.166312	98.572979	97.752491
3849.0	97.386912	97.998545	97.981577	97.722289	98.183975	98.147182	98.366625	98.449638	98.565123	98.18398	98.580979	97.757357
3848.0	97.401018	97.994469	97.984211	97.725461	98.188219	98.158967	98.400199	98.44697	98.576247	98.207866	98.587348	97.766801
3847.0	97.421073	97.99911	97.990726	97.735232	98.198287	98.172384	98.433101	98.447234	98.593151	98.23	98.59338	97.77437
