ν,LD-Alanina No Magnetizada Irradiada Petri,LD-Alanina No Magnetizada  Eppendorf,LD-Alanina Irradiada No Magnetizada Eppendorf,LD-Alanina  No Magnetizada Petri,L-Alanina No Magnetizada Irradiada Petri,L-Alanina No Magnetizada  Eppendorf,L-Alanina Irradiada No Magnetizada Eppendorf,L-Alanina  No Magnetizada Petri,D-Alanina No Magnetizada Irradiada Petri,D-Alanina No Magnetizada Eppendorf,D-Alanina Irradiada No Magnetizada Eppendorf,D-Alanina  No Magnetizada Petri
3874.0,99.633953,98.197462,98.032429,97.083877,98.089434,98.018338,97.921167,99.267388,98.485561,98.477059,97.650231,98.120053
3873.0,99.638582,98.199098,98.030311,97.100762,98.089368,98.023602,97.917278,99.276233,98.489617,98.483792,97.65667,98.118296
3872.0,99.643584,98.201839,98.036052,97.107225,98.085428,98.019889,97.912772,99.284826,98.49295,98.499421,97.659972,98.111573
3871.0,99.641686,98.207659,98.045803,97.104769,98.081029,98.007845,97.913203,99.289257,98.493757,98.514084,97.656672,98.10434
3870.0,99.633272,98.214571,98.050133,97.102319,98.081399,97.992957,97.920605,99.287078,98.490397,98.513313,97.647631,98.102033
3869.0,99.626901,98.219593,98.047653,97.102848,98.086802,97.98065,97.931551,99.279783,98.482829,98.497371,97.640937,98.10522
3868.0,99.626909,98.223653,98.045202,97.102209,98.093963,97.973093,97.941749,99.27062,98.47404,98.482006,97.641814,98.108745
3867.0,99.628135,98.229439,98.045998,97.098176,98.10109,97.970246,97.947097,99.263278,98.468033,98.47542,97.646274,98.110332
3866.0,99.624629,98.234898,98.047346,97.092403,98.1074,97.972537,97.944688,99.259285,98.465896,98.470351,97.64844,98.110581
3865.0,99.618944,98.232242,98.047056,97.088322,98.111245,97.979915,97.93716,99.255729,98.464871,98.46,97.647994,98.10753
3864.0,99.617532,98.217107,98.046653,97.087756,98.111542,97.988747,97.931271,99.249848,98.461814,98.447342,97.648884,98.099472
3863.0,99.620738,98.195367,98.047719,97.089621,98.110205,97.994317,97.930468,99.244347,98.457395,98.440223,97.652267,98.090459
3862.0,99.624441,98.179079,98.046809,97.093611,98.111365,97.996746,97.930815,99.246563,98.455694,98.443719,97.653729,98.089423
3861.0,99.627526,98.175564,98.040386,97.10004,98.116426,98.000166,97.926866,99.260703,98.459261,98.456273,97.650764,98.10046
3860.0,99.631263,98.182172,98.030417,97.107317,98.121645,98.006131,97.919416,99.281268,98.466717,98.472145,97.646013,98.115497
3859.0,99.636481,98.188852,98.021751,97.113305,98.121701,98.010666,97.914426,99.29667,98.474855,98.484093,97.641811,98.12047
3858.0,99.641786,98.186655,98.017088,97.117689,98.114957,98.008259,97.916479,99.299746,98.481923,98.486826,97.636219,98.109015
3857.0,99.644577,98.17471,98.01621,97.120019,98.104564,97.997129,97.924433,99.293704,98.487336,98.481325,97.627133,98.088947
3856.0,99.643045,98.160358,98.018258,97.117392,98.094839,97.981512,97.933774,99.286948,98.489321,98.474691,97.618204,98.074679
3855.0,99.64045,98.15149,98.021839,97.109629,98.088255,97.96935,97.941353,99.280677,98.487205,98.473516,97.615986,98.073358
3854.0,99.642177,98.150016,98.016867,97.110384,98.085596,97.96281,97.941467,99.27161,98.486069,98.473174,97.614749,98.086887
3853.0,99.644878,98.15332,98.000586,97.121717,98.084159,97.953283,97.9258,99.264368,98.489538,98.462757,97.608672,98.115467
3852.0,99.640925,98.158104,97.989052,97.122632,98.080882,97.935009,97.902908,99.260699,98.492631,98.450012,97.605155,98.141356
3851.0,99.630475,98.160213,97.992872,97.105468,98.079491,97.914443,97.89313,99.254566,98.49141,98.449849,97.608648,98.143799
3850.0,99.619454,98.160178,98.005523,97.08543,98.086057,97.90345,97.900104,99.249062,98.488345,98.455996,97.614789,98.12847
