ν,LD-Alanina No Magnetizada Irradiada Petri,LD-Alanina Magnetizada Irradiada Petri,LD-Alanina Irradiada No Magnetizada Eppendorf,LD-Alanina Irradiada Magnetizada Eppendorf,L-Alanina No Magnetizada Irradiada Petri,L-Alanina Magnetizada Irradiada Petri,L-Alanina Irradiada No Magnetizada Eppendorf,L-Alanina Irradiada  Magnetizada Eppendorf,D-Alanina No Magnetizada Irradiada Petri,D-Alanina Magnetizada Irradiada Petri,D-Alanina Irradiada No Magnetizada Eppendorf,D-Alanina Irradiada Magnetizada Eppendorf
1080.0,100.554931,85.61243,88.048128,91.889729,87.041072,91.328194,93.380968,94.191795,92.105657,94.678072,90.671741,95.472609
1079.0,100.587658,85.908078,88.268842,92.007594,87.257623,91.490344,93.465941,94.286613,92.266517,94.816406,90.834388,95.523021
1078.0,100.614228,86.191774,88.481693,92.127708,87.464402,91.643789,93.546556,94.373348,92.417998,94.932461,90.993361,95.572893
1077.0,100.642896,86.46559,88.695426,92.251142,87.666329,91.798359,93.63535,94.462093,92.572632,95.040456,91.154873,95.62502
1076.0,100.683743,86.726958,88.90033,92.362374,87.853749,91.954166,93.722874,94.545017,92.73059,95.153646,91.305322,95.675519
1075.0,100.741704,86.983965,89.085851,92.453307,88.021732,92.107352,93.792593,94.610925,92.884558,95.282485,91.430091,95.718729
1074.0,100.812591,87.254526,89.258994,92.53709,88.191467,92.26353,93.848665,94.667716,93.037112,95.437973,91.538605,95.754911
1073.0,100.882469,87.540566,89.431656,92.627181,88.383615,92.429167,93.906896,94.729933,93.190228,95.615789,91.649313,95.788162
1072.0,100.935306,87.819226,89.602694,92.719535,88.583449,92.595391,93.968492,94.79644,93.3285,95.785728,91.762022,95.820341
1071.0,100.967448,88.069908,89.76566,92.806637,88.760679,92.746069,94.024793,94.859489,93.4359,95.91836,91.866728,95.851611
1070.0,100.993232,88.29513,89.921859,92.891789,88.912204,92.877505,94.078052,94.921945,93.521594,96.017287,91.967093,95.882836
1069.0,101.030772,88.504803,90.073403,92.977108,89.05677,92.995944,94.135316,94.985923,93.609526,96.107528,92.071856,95.912978
1068.0,101.082609,88.697323,90.215662,93.054078,89.197934,93.101339,94.190424,95.038931,93.710487,96.200931,92.174074,95.938731
1067.0,101.134192,88.870351,90.34837,93.119289,89.322292,93.189454,94.233333,95.072213,93.820587,96.292485,92.262445,95.961097
1066.0,101.169573,89.034513,90.481262,93.183871,89.426995,93.265829,94.269154,95.099115,93.934783,96.37967,92.343343,95.98705
1065.0,101.183554,89.199735,90.617015,93.25429,89.521052,93.342191,94.308164,95.134809,94.043941,96.461959,92.428639,96.019719
1064.0,101.180478,89.359934,90.742031,93.319202,89.604872,93.421224,94.346256,95.172468,94.131327,96.529226,92.511472,96.052244
1063.0,101.17001,89.506968,90.846027,93.368266,89.673918,93.497091,94.375149,95.200496,94.191948,96.574779,92.577428,96.076474
1062.0,101.166831,89.649734,90.937465,93.409071,89.737391,93.56739,94.402063,95.227683,94.245051,96.614784,92.631042,96.092568
1061.0,101.187124,89.80463,91.028171,93.452803,89.81092,93.634449,94.43874,95.268094,94.310211,96.673104,92.688681,96.105348
1060.0,101.238126,89.975196,91.1167,93.497625,89.897134,93.700679,94.480341,95.315139,94.383274,96.75225,92.753334,96.117282
1059.0,101.310322,90.152869,91.198246,93.537831,89.992435,93.772333,94.515221,95.354114,94.451548,96.838303,92.81758,96.130319
1058.0,101.382379,90.32841,91.276073,93.574343,90.101537,93.859152,94.545893,95.387446,94.516669,96.925314,92.882186,96.147937
1057.0,101.435188,90.491224,91.351163,93.60506,90.222999,93.958847,94.580109,95.424144,94.583717,97.012869,92.950397,96.16931
1056.0,101.462774,90.628261,91.41515,93.620735,90.331821,94.051302,94.61143,95.457021,94.644462,97.089258,93.01324,96.187746
1055.0,101.473931,90.738654,91.46525,93.622018,90.402105,94.121029,94.63025,95.474792,94.693509,97.144069,93.062157,96.2009
1054.0,101.485816,90.842737,91.511536,93.624646,90.440326,94.176851,94.645336,95.485988,94.74618,97.193238,93.107457,96.216216
1053.0,101.512954,90.962601,91.557904,93.63543,90.472576,94.236573,94.672143,95.50652,94.816208,97.265539,93.163009,96.240128
1052.0,101.559208,91.098231,91.591943,93.639261,90.506073,94.303255,94.706361,95.532551,94.888737,97.366072,93.2223,96.268852
1051.0,101.621549,91.234782,91.606707,93.622962,90.529484,94.374082,94.731665,95.550537,94.943084,97.479165,93.27298,96.296944
1050.0,101.703055,91.368599,91.614128,93.593825,90.545224,94.461411,94.747782,95.564785,94.991858,97.60548,93.323722,96.326489
1049.0,101.818333,91.514119,91.622047,93.560137,90.572365,94.582439,94.76765,95.588127,95.067478,97.76581,93.389302,96.358738
1048.0,101.98147,91.689885,91.619197,93.514857,90.621396,94.73638,94.794132,95.615602,95.179782,97.968088,93.461487,96.386377
1047.0,102.191399,91.907919,91.598008,93.454215,90.691847,94.912875,94.82187,95.633985,95.31552,98.202021,93.52292,96.404578
1046.0,102.435116,92.170655,91.56956,93.390629,90.787544,95.112896,94.851806,95.645506,95.467314,98.466826,93.575514,96.419785
1045.0,102.703662,92.46927,91.541917,93.332916,90.910127,95.340121,94.883175,95.658123,95.634277,98.773752,93.628233,96.437411
1044.0,102.997,92.787701,91.506301,93.274001,91.0448,95.580205,94.903651,95.665903,95.802517,99.117042,93.673173,96.451499
1043.0,103.310267,93.109594,91.458366,93.209883,91.173414,95.808882,94.908239,95.662283,95.949579,99.466105,93.701965,96.45828
1042.0,103.620343,93.413895,91.41033,93.149619,91.294852,96.015149,94.916118,95.660129,96.063204,99.790766,93.731599,96.470712
1041.0,103.891821,93.663437,91.362765,93.09065,91.41382,96.198537,94.946508,95.674027,96.137627,100.075133,93.783219,96.504641
1040.0,104.097721,93.811245,91.279423,92.999154,91.519445,96.350277,94.98757,95.691728,96.161276,100.305946,93.844459,96.554808
1039.0,104.234265,93.822053,91.105264,92.827163,91.597501,96.458303,95.011188,95.686707,96.130289,100.471067,93.882984,96.59815
1038.0,104.31565,93.669698,90.793015,92.533127,91.654946,96.525966,95.009309,95.651804,96.066281,100.573851,93.890693,96.619151
1037.0,104.354187,93.301569,90.293392,92.072201,91.70799,96.564252,94.993292,95.598645,95.999654,100.627434,93.885048,96.620955
1036.0,104.345854,92.622152,89.532119,91.381534,91.753112,96.569837,94.967271,95.532252,95.942782,100.63141,93.87319,96.614506
1035.0,104.274492,91.533302,88.419531,90.39167,91.773028,96.53172,94.927287,95.448996,95.895229,100.573357,93.845785,96.608785
1034.0,104.127405,89.999878,86.892267,89.051165,91.762691,96.45384,94.878055,95.350769,95.858775,100.452843,93.801071,96.609031
1033.0,103.907259,88.096995,84.966327,87.354303,91.7239,96.348233,94.823506,95.236228,95.823256,100.282488,93.742183,96.611724
1032.0,103.634107,86.029539,82.788259,85.384979,91.640437,96.209065,94.745433,95.082726,95.749317,100.064702,93.651464,96.601843
1031.0,103.338099,84.098955,80.634262,83.34178,91.48247,96.013912,94.615623,94.857854,95.588732,99.785412,93.496558,96.565539
1030.0,103.045193,82.587545,78.803923,81.476524,91.228113,95.745595,94.423011,94.542051,95.31232,99.426707,93.259655,96.50327
1029.0,102.767599,81.635603,77.484139,79.985577,90.854775,95.390951,94.1628,94.117945,94.896725,98.96529,92.929901,96.418928
1028.0,102.511143,81.231111,76.726156,78.976451,90.311895,94.920382,93.801925,93.542699,94.295696,98.361184,92.466103,96.298058
1027.0,102.288562,81.288774,76.519607,78.509063,89.516607,94.283035,93.27453,92.747487,93.445025,97.563199,91.790019,96.106533
1026.0,102.116029,81.690618,76.812923,78.587068,88.355714,93.407721,92.494227,91.648798,92.278743,96.512592,90.801483,95.801435
1025.0,101.995364,82.251467,77.437474,79.068587,86.668449,92.188031,91.33776,90.138621,90.720399,95.121814,89.362681,95.323206
1024.0,101.906975,82.695195,78.055351,79.613565,84.273511,90.498723,89.64365,88.096863,88.69559,93.281599,87.296149,94.586302
1023.0,101.821368,82.709768,78.229273,79.759195,81.107242,88.295808,87.311505,85.483878,86.214334,90.955096,84.49762,93.521337
1022.0,101.710662,82.043788,77.568827,79.074904,77.37424,85.724569,84.448154,82.445971,83.445697,88.285257,81.108499,92.156989
1021.0,101.549071,80.571826,75.848606,77.291311,73.516254,83.086272,81.374838,79.287471,80.663328,85.565261,77.529847,90.644454
1020.0,101.316365,78.323912,73.075836,74.378986,69.964255,80.645264,78.417683,76.277454,78.074747,83.048793,74.17667,89.161513
1019.0,101.015029,75.507293,69.5373,70.610559,66.861937,78.437556,75.638044,73.43245,75.674469,80.755006,71.153472,87.762568
1018.0,100.683431,72.492944,65.784297,66.56544,64.005557,76.267807,72.761544,70.477623,73.256444,78.459629,68.162788,86.322712
1017.0,100.383368,69.739487,62.502183,63.00465,61.085385,73.926689,69.429632,67.083485,70.614378,75.922978,64.79151,84.663092
1016.0,100.169743,67.689823,60.311409,60.63953,58.027783,71.446607,65.601326,63.229106,67.795112,73.181465,60.966026,82.77002
1015.0,100.066428,66.663723,59.578139,59.883651,55.125042,69.162653,61.758369,59.37831,65.18417,70.640335,57.181282,80.907332
1014.0,100.061402,66.756034,60.300144,60.705855,52.857036,67.527995,58.715116,56.286424,63.320849,68.868889,54.29719,79.50533
1013.0,100.12009,67.806148,62.144635,62.699814,51.60947,66.861448,57.186764,54.596413,62.594461,68.274449,53.075822,78.917987
1012.0,100.206007,69.479949,64.624799,65.323696,51.525752,67.224516,57.455831,54.553596,63.075097,68.917984,53.813154,79.246188
1011.0,100.294765,71.408332,67.290814,68.118198,52.511757,68.448688,59.310529,55.979085,64.556093,70.55082,56.253386,80.324864
1010.0,100.375152,73.30695,69.841366,70.793783,54.311514,70.237555,62.217044,58.431575,66.707645,72.779312,59.770116,81.840457
1009.0,100.442427,75.032915,72.140676,73.216428,56.620901,72.289441,65.595016,61.434965,69.218442,75.234288,63.686028,83.488935
1008.0,100.494032,76.56272,74.166174,75.352597,59.190521,74.385721,69.016486,64.634359,71.852732,77.656609,67.516423,85.07379
1007.0,100.531542,77.921715,75.938611,77.214043,61.850056,76.40424,72.23502,67.809548,74.435776,79.895275,71.009496,86.505937
1006.0,100.562329,79.12526,77.481061,78.823419,64.47077,78.281381,75.124851,70.816013,76.835715,81.879757,74.065807,87.757031
1005.0,100.594862,80.167758,78.81166,80.202719,66.941858,79.976995,77.636115,73.553072,78.969545,83.598373,76.668436,88.826076
1004.0,100.631375,81.045708,79.948876,81.374963,69.186462,81.467639,79.775089,75.968975,80.808954,85.072646,78.850559,89.727389
1003.0,100.665423,81.776068,80.915354,82.367984,71.181562,82.756617,81.579083,78.060791,82.373006,86.333039,80.669742,90.48309
1002.0,100.686395,82.389159,81.736331,83.211722,72.949281,83.874736,83.091288,79.855665,83.712007,87.413026,82.185017,91.116093
1001.0,100.68766,82.910569,82.432967,83.929753,74.522829,84.858213,84.353228,81.389493,84.879158,88.350511,83.448934,91.647481
